City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Cleveland,Owned,FALSE,WOODLAND HILLS,51,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",10002 HULDA AVE,2652,2652,i5aik4ltprzh,alchemy,2021-07-08T17:17:19.500Z,,,,,32.08,40.1,81857012678194,,,
Cleveland,Owned,FALSE,WOODLAND HILLS,51,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",9405 YEAKEL AVE,2652,2652,i5aik4ltprzh,alchemy,2021-07-08T17:20:15.000Z,,,,,32.08,40.1,81857012678016,,,
Chicago,Owned,FALSE,GARFIELD PARK,20,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",3723 W HARRISON ST,2720,2720,i5aik4ltprzh,alchemy,2021-06-04T22:23:38.500Z,,,,,32.9,42.11,82098201750286,,,
Cleveland,Owned,FALSE,GLENVILLE,46,"[{""name"":""Clevelander"",""yield_boost"":1.25},{""name"":""Glenville"",""yield_boost"":1.3}]",1178 E 123 ST,2760,30000,i5aik4ltprzh,alchemy,2021-09-24T00:24:44.000Z,,,,,33.38,43.4,81882195277027,,,
Staten Island,Owned,FALSE,NEW DORP,44,"[{""name"":""Staten Islander"",""yield_boost"":1.2}]",2400 RICHMOND RD,2816,7950,i5aik4ltprzh,alchemy,2021-08-26T21:45:47.000Z,,,,,34.06,40.87,81290714778932,,,
Fresno,Owned,FALSE,ROOSEVELT,204,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",4332 S ORANGE AVE,2856,2856,i5aik4ltprzh,alchemy,2021-08-02T19:23:26.000Z,,,,,34.55,41.46,78860030531616,,,
Cleveland,Owned,FALSE,GLENVILLE,48,"[{""name"":""Clevelander"",""yield_boost"":1.25},{""name"":""Glenville"",""yield_boost"":1.3}]",1324 E 125 ST,2880,21000,i5aik4ltprzh,alchemy,2021-09-24T00:13:00.500Z,,,,,34.84,45.29,81879779358014,,,
Staten Island,Owned,FALSE,WEST BRIGHTON,48,"[{""name"":""Staten Islander"",""yield_boost"":1.2}]",64 PELTON AVE,2880,7998,i5aik4ltprzh,alchemy,2021-05-12T05:08:44.000Z,,,,,34.84,41.8,81331584074351,,,
Brooklyn,Owned,FALSE,MAPLETON,37,"[{""name"":""Brooklyner"",""yield_boost"":1.25}]",2 PARKVILLE AVENUE,2960,2960,i5aik4ltprzh,alchemy,2021-03-11T12:02:31.500Z,,,,,35.8,44.76,81322994143555,,,
Fresno,Owned,FALSE,ROOSEVELT,217,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",1602 E MALAGA AVE,3038,3038,i5aik4ltprzh,alchemy,2020-12-01T00:45:48.500Z,,,,,36.75,44.1,78860047308866,,,
